"Ion Mode","Name","Formula","Molecular Weight","RT [Min]","Levels","Fish Coverage"
"Pos","","C2 H7 N5 O",117.06466,1.053,"MSI Level III; Level 4",NA
"Pos","","C19 H41 N2 O4 P",392.2786,13.647,"MSI Level III; Level 4",NA
"Pos","","C8 H18 O5",194.11549,1.336,"MSI Level III; Level 4",NA
"Pos","","C3 H5 N7",139.06091,1.325,"MSI Level III; Level 4",NA
"Pos","","C9 H20 N4 O4",248.14848,1.062,"MSI Level III; Level 4",NA
"Pos","","C22 H27 N3 O16 S4",717.02763,1.11,"MSI Level III; Level 4",NA
"Pos","","C4 H8 N3 O4 P",193.02535,0.991,"MSI Level III; Level 4",NA
"Pos","","C5 H6 O3",114.03169,1.429,"MSI Level III; Level 4",NA
"Pos","","C H2 N3 P3",148.94569,1.358,"MSI Level III; Level 4",NA
"Pos","","C3 H Cl N O5 P S",228.89939,0.758,"MSI Level III; Level 4",NA
"Pos","","C3 H3 N O5 S2",196.94461,0.824,"MSI Level III; Level 4",NA
"Pos","","C9 H9 N O3",179.05829,10.014,"MSI Level III; Level 4",NA
"Pos","","C5 H8 O3",116.04733,1.051,"MSI Level III; Level 4",NA
"Pos","","C11 H10 N9 O13 P3 S",600.93357,1.604,"MSI Level III; Level 4",NA
"Pos","","C13 H25 N5 O2",283.19954,6.657,"MSI Level III; Level 4",NA
"Pos","","C H4 N3 O P3",166.95649,1.333,"MSI Level III; Level 4",NA
"Pos","","C17 H9 N5 O14 P2 S",600.93362,1.239,"MSI Level III; Level 4",NA
"Pos","","C35 H70 N3 O13 P3",833.41261,7.948,"MSI Level III; Level 4",NA
"Pos","","C35 H70 N3 O13 P3",833.41263,7.789,"MSI Level III; Level 4",NA
"Pos","","C5 H8 O4",132.04233,1.423,"MSI Level III; Level 4",NA
"Pos","","C2 H N O5",118.98558,0.816,"MSI Level III; Level 4",NA
"Pos","","C16 H43 N8 O7 P",490.29748,1.066,"MSI Level III; Level 4",NA
"Pos","","C4 H4 N6 O2",168.0388,1.368,"MSI Level III; Level 4",NA
"Pos","","C8 H5 N O5 S",226.98798,1.48,"MSI Level III; Level 4",NA
"Pos","","C4 H6 N O5 P",178.99866,0.092,"MSI Level III; Level 4",NA
"Pos","","C3 H8 N2 O2 S",136.03023,0.053,"MSI Level III; Level 4",NA
"Pos","","C7 H10 O4",158.05786,11.416,"MSI Level III; Level 4",NA
"Pos","","C11 H10 N9 O13 P3 S",600.93351,1.106,"MSI Level III; Level 4",NA
"Pos","","C12 H18 N2 O4",254.12676,1.137,"MSI Level III; Level 4",NA
"Pos","","C2 H2 N6 S",142.00655,0.945,"MSI Level III; Level 4",NA
"Pos","","C22 H40 N9 O8 P3",651.22079,0.888,"MSI Level III; Level 4",NA
"Pos","","C33 H41 N2 O4 P S5",720.1407,0.873,"MSI Level III; Level 4",NA
"Pos","","C30 H34 N4 O14 S2",738.15103,0.857,"MSI Level III; Level 4",NA
"Pos","","C3 H N7 O P2",212.9724,1.155,"MSI Level III; Level 4",NA
"Pos","","C20 H43 N10 O16 P S2",774.20428,1.144,"MSI Level III; Level 4",NA
"Pos","","C41 H57 N3 O15",831.37915,9.695,"MSI Level III; Level 4",NA
"Pos","","C8 H16 N6 O4",260.12367,6.142,"MSI Level III; Level 4",NA
"Pos","","C2 H5 O7 P",171.97743,0.992,"MSI Level III; Level 4",NA
"Pos","","C8 H19 N O6",225.12112,0.838,"MSI Level III; Level 4",NA
"Pos","","C8 H5 N O5 S",226.98808,1.333,"MSI Level III; Level 4",NA
"Pos","","C19 H45 N7 O P2 S",481.28622,13.067,"MSI Level III; Level 4",NA
"Pos","","C3 H8 N O6 P",185.00902,0.957,"MSI Level III; Level 4",NA
"Pos","","C10 H22 O6",238.14163,5.496,"MSI Level III; Level 4",NA
"Pos","","C34 H27 O4 P S2",594.10917,0.839,"MSI Level III; Level 4",NA
"Pos","","C13 H25 N5 O2",283.19942,6.142,"MSI Level III; Level 4",NA
"Pos","","C10 H16 N9 O13 P3 S",594.97992,1.107,"MSI Level III; Level 4",NA
"Pos","","C5 H5 N5",135.0546,0.936,"MSI Level III; Level 4",NA
"Pos","","C7 H6 O2",122.03679,10.424,"MSI Level III; Level 4",NA
"Pos","","C5 H13 N O7",199.06887,1.372,"MSI Level III; Level 4",NA
"Pos","","C7 H9 Cl N4 O3 S",264.00893,1.352,"MSI Level III; Level 4",NA
"Pos","","C34 H27 N3 O10 S2",701.1131,0.839,"MSI Level III; Level 4",NA
"Pos","","C H2 O7",125.97992,0.777,"MSI Level III; Level 4",NA
"Pos","","C19 H28 N4 O2 S",376.19267,13.699,"MSI Level III; Level 4",NA
"Pos","","C15 H22 N2 O3",278.16305,12.522,"MSI Level III; Level 4",NA
"Pos","","C38 H27 N3 O2 P2 S2",683.10253,0.848,"MSI Level III; Level 4",NA
"Pos","","C7 H4 O6 S",215.97194,0.838,"MSI Level III; Level 4",NA
"Pos","","C5 H5 N5 O",151.04907,0.938,"MSI Level III; Level 4",NA
"Pos","","C5 H4 O P2 S",173.94614,0.76,"MSI Level III; Level 4",NA
"Pos","","C4 H2 N O7 P S",238.92814,0.78,"MSI Level III; Level 4",NA
"Pos","","C23 H18 O7",406.10515,10.25,"MSI Level III; Level 4",NA
"Pos","","C3 H8 N2 O5 S",184.01612,0.071,"MSI Level III; Level 4",NA
"Pos","","C29 H51 N S2",477.34557,14.009,"MSI Level III; Level 4",NA
"Pos","","C13 H21 N3 O8 S",379.10464,1.148,"MSI Level III; Level 4",NA
"Pos","","C8 H17 N O2",159.12583,1.66,"MSI Level III; Level 4",NA
"Pos","","C42 H34 N5 O12 P S",863.16599,0.843,"MSI Level III; Level 4",NA
"Pos","","C29 H42 N3 O5 P3 S",637.20569,0.858,"MSI Level III; Level 4",NA
"Pos","","C2 H5 N3 O3 S2",182.97761,0.83,"MSI Level III; Level 4",NA
"Pos","","C9 H12 N5 O7 P S3",428.96312,0.824,"MSI Level III; Level 4",NA
"Pos","","C6 H9 N7 O P2 S2",320.98006,1.231,"MSI Level III; Level 4",NA
"Pos","","C15 H29 N5 O3",327.22555,7.819,"MSI Level III; Level 4",NA
"Pos","","C9 H17 O2 P",188.0961,13.696,"MSI Level III; Level 4",NA
"Pos","","C23 H55 N10 O13 P3 S4",900.20425,0.86,"MSI Level III; Level 4",NA
"Pos","","C14 H32 Cl N10 O16 P3 S2",788.03423,0.822,"MSI Level III; Level 4",NA
"Pos","","C33 H75 N10 O13 P3 S",944.44486,11.96,"MSI Level III; Level 4",NA
"Pos","","C3 H2 N6 O2",154.02418,1.435,"MSI Level III; Level 4",NA
"Pos","","C24 H39 N O14 S2",629.18268,0.842,"MSI Level III; Level 4",NA
"Pos","","C3 H9 N P2 S",152.99336,0.81,"MSI Level III; Level 4",NA
"Pos","","C11 H21 N O6",263.13694,11.42,"MSI Level III; Level 4",NA
"Pos","","C8 H7 N O8 S",276.98902,0.826,"MSI Level III; Level 4",NA
"Pos","","C11 H23 N3 O",213.18406,2.905,"MSI Level III; Level 4",NA
"Pos","","C29 H13 N2 O8 P3 S",641.96005,1.265,"MSI Level III; Level 4",NA
"Pos","","C6 H2 O12 S5",425.81458,0.975,"MSI Level III; Level 4",NA
"Pos","","C28 H14 O11 P2 S",619.97354,0.677,"MSI Level III; Level 4",NA
"Pos","","C25 H12 N5 O11 P3 S2",714.91943,0.673,"MSI Level III; Level 4",NA
"Pos","","C25 H9 O9 P3 S",577.91759,0.991,"MSI Level III; Level 4",NA
"Pos","","C4 H8 N3 O P3 S",238.95985,1.328,"MSI Level III; Level 4",NA
"Pos","","C2 H6 N6 O3",162.04985,8.949,"MSI Level III; Level 4",NA
"Pos","","C10 H22 O6",238.14145,6.119,"MSI Level III; Level 4",NA
"Pos","","C13 H25 N5 O2",283.19946,5.594,"MSI Level III; Level 4",NA
"Pos","","C22 H38 Cl2 N5 O10 P S2",697.11789,0.869,"MSI Level III; Level 4",NA
"Pos","","C48 H99 N4 O13 P3 S",1064.61401,13.054,"MSI Level III; Level 4",NA
"Pos","","C52 H38 N2 O11 P2 S3",1024.11077,1.123,"MSI Level III; Level 4",NA
"Pos","","C5 H3 N2 O10 P S4",409.84059,0.97,"MSI Level III; Level 4",NA
"Pos","","C82 H152 Cl2 N10 S",1379.13094,1.107,"MSI Level III; Level 4",NA
"Pos","","C22 H32 N10 O18 S",756.16195,0.846,"MSI Level III; Level 4",NA
"Pos","","C4 H4 N8 O2",196.04597,0.996,"MSI Level III; Level 4",NA
"Pos","","C27 H9 N8 O3 P3 S4",713.88934,1.242,"MSI Level III; Level 4",NA
"Pos","","C37 H35 N2 O11 P3 S",808.11737,0.841,"MSI Level III; Level 4",NA
"Pos","","C5 H10 Cl N3 O5 P2",288.97896,0.949,"MSI Level III; Level 4",NA
"Pos","","C20 H9 N8 O16 P3",709.93474,1.345,"MSI Level III; Level 4",NA
"Pos","","C27 H53 N O6 P2",549.33375,13.054,"MSI Level III; Level 4",NA
"Pos","","C15 H29 N3 O4",315.21557,12.202,"MSI Level III; Level 4",NA
"Pos","","C9 H8 O2",148.05244,2.226,"MSI Level III; Level 4",NA
"Pos","","C4 H11 N O6",169.05813,1.327,"MSI Level III; Level 4",NA
"Pos","","C69 H108 N7 O16 P3 S",1415.68086,12.867,"MSI Level III; Level 4",NA
"Pos","","C9 H30 N9 O2 P",327.22565,7.646,"MSI Level III; Level 4",NA
"Pos","","C14 H30 Cl N8 O14 P S2",664.07505,0.822,"MSI Level III; Level 4",NA
"Pos","","C15 H22 N2 O4",294.15785,9.25,"MSI Level III; Level 4",NA
"Pos","","C14 H20 N2 O3",264.14754,9.464,"MSI Level III; Level 4",NA
"Pos","","C46 H69 N7 O S",767.52924,13.649,"MSI Level III; Level 4",NA
"Pos","","C28 H32 N O17 P",685.14063,0.839,"MSI Level III; Level 4",NA
"Pos","","C7 H Cl N4 O10 P2 S3",493.80214,0.973,"MSI Level III; Level 4",NA
"Pos","","C47 H90 N5 O17 P3",1089.55508,12.916,"MSI Level III; Level 4",NA
"Pos","","C19 H45 N10 O7 P",556.32215,8.113,"MSI Level III; Level 4",NA
"Pos","","C14 H22 O7",302.13641,13.269,"MSI Level III; Level 4",NA
"Pos","","C13 H26 N7 O13 P S5",678.99229,0.814,"MSI Level III; Level 4",NA
"Pos","","C28 H7 Cl N10 O11 P2",755.94586,0.671,"MSI Level III; Level 4",NA
"Pos","","C12 H16 N2 O4",252.11103,5.207,"MSI Level III; Level 4",NA
"Pos","","C26 H12 O16 P2",641.96009,0.932,"MSI Level III; Level 4",NA
"Pos","","C63 H64 N4 P2",938.4604,13.613,"MSI Level III; Level 4",NA
"Pos","","C28 H30 N10 O16 S2",826.12789,0.836,"MSI Level III; Level 4",NA
"Pos","","C12 H24 N2 O4 S2",324.11836,13.266,"MSI Level III; Level 4",NA
"Pos","","C H O15 P3",345.85444,0.76,"MSI Level III; Level 4",NA
"Pos","","C33 H42 N3 O15 P3 S",845.15543,0.848,"MSI Level III; Level 4",NA
"Pos","","C6 H8 N O6 P",221.00912,0.092,"MSI Level III; Level 4",NA
"Pos","","C13 H34 N9 O16 P S2",667.13003,0.848,"MSI Level III; Level 4",NA
"Pos","","C13 H26 N3 P S",287.15746,12.119,"MSI Level III; Level 4",NA
"Pos","","C36 H80 N5 O17 P3 S",979.4495,13.456,"MSI Level III; Level 4",NA
"Pos","","C36 H81 N10 O13 P S2",956.51707,12.32,"MSI Level III; Level 4",NA
"Pos","","C29 H22 N5 O17 P",743.0746,0.805,"MSI Level III; Level 4",NA
"Pos","","C3 H5 N3 O6 P2",240.96634,0.771,"MSI Level III; Level 4",NA
"Pos","","C40 H58 N3 O16 P3 S3",1025.21845,0.848,"MSI Level III; Level 4",NA
"Pos","","C31 H54 N2 O2 S2",550.36305,1.36,"MSI Level III; Level 4",NA
"Pos","","C7 H5 N O",119.03718,3.276,"MSI Level III; Level 4",NA
"Pos","","C36 H77 N4 O17 P",868.50167,13.34,"MSI Level III; Level 4",NA
"Pos","","C16 H21 N5 O10 P2",505.07775,0.842,"MSI Level III; Level 4",NA
"Pos","","C3 H4 N O P3 S",194.92297,0.775,"MSI Level III; Level 4",NA
"Pos","","C15 H29 N3 O5",331.21052,11.94,"MSI Level III; Level 4",NA
"Pos","","C43 H81 N4 O17 P S",988.50755,12.637,"MSI Level III; Level 4",NA
"Pos","","C37 H39 O6 P3 S",704.16781,0.869,"MSI Level III; Level 4",NA
"Pos","","C6 H N6 O5 P3 S2",393.86674,0.962,"MSI Level III; Level 4",NA
"Pos","","C3 H3 N3 O5 P2",222.95582,0.763,"MSI Level III; Level 4",NA
"Pos","","C H3 Cl N3 O2 P S3",250.88127,0.748,"MSI Level III; Level 4",NA
"Pos","","C8 H8 O2",136.05245,14.051,"MSI Level III; Level 4",NA
"Pos","","C29 H58 N10 O15 P2",848.35504,12.122,"MSI Level III; Level 4",NA
"Pos","","C4 H8 P2",118.01031,0.831,"MSI Level III; Level 4",NA
"Pos","","C24 H38 N6 O18 P2 S",792.14481,0.84,"MSI Level III; Level 4",NA
"Pos","","C47 H78 N10 O3 P2 S2",956.51756,12.112,"MSI Level III; Level 4",NA
"Pos","","C4 H15 N3 O14 P2 S",422.97473,1.01,"MSI Level III; Level 4",NA
"Pos","","C4 H9 N O5",151.04816,0.936,"MSI Level III; Level 4",NA
"Pos","","C60 H78 N O8 P S",1003.51822,8.07,"MSI Level III; Level 4",NA
"Pos","","C6 H Cl N2 O4 P2",261.9097,0.724,"MSI Level III; Level 4",NA
"Pos","","C38 H45 N6 O15 P3",918.21462,0.852,"MSI Level III; Level 4",NA
"Pos","","C15 H22 N2 O3",278.163,11.954,"MSI Level III; Level 4",NA
"Pos","","C40 H67 N9 O15",913.47565,12.431,"MSI Level III; Level 4",NA
"Pos","","C11 H20 O6",248.12595,9.712,"MSI Level III; Level 4",NA
"Pos","","C7 H13 N O3",159.08947,3.499,"MSI Level III; Level 4",NA
"Pos","","C39 H69 N8 O13 P3 S",982.3915,11.959,"MSI Level III; Level 4",NA
"Pos","","C21 H9 N4 O17 P3 S",713.88995,0.934,"MSI Level III; Level 4",NA
"Pos","","C7 H4 Cl N3 O S",212.97574,0.736,"MSI Level III; Level 4",NA
"Pos","","C7 H10 O14 P2 S",411.92578,0.727,"MSI Level III; Level 4",NA
"Pos","","C34 H49 N10 O15 P3 S4",1058.14725,0.837,"MSI Level III; Level 4",NA
"Pos","","C11 H22 N2 O3 S",262.13504,6.862,"MSI Level III; Level 4",NA
"Pos","","C15 H21 N10 O15 P3 S",706.01245,0.986,"MSI Level III; Level 4",NA
"Pos","","C4 H4 N P3 S",190.92736,0.779,"MSI Level III; Level 4",NA
"Pos","","C29 H39 N9 O17 P2",847.19414,0.847,"MSI Level III; Level 4",NA
"Pos","","C42 H81 N7 O16 S2",1003.51808,7.895,"MSI Level III; Level 4",NA
"Pos","","C43 H77 N3 O10",795.56092,13.648,"MSI Level III; Level 4",NA
"Pos","","C14 H18 N2 O5",294.12146,6.866,"MSI Level III; Level 4",NA
"Pos","","C20 H27 N",281.21446,14.046,"MSI Level III; Level 4",NA
"Pos","","C42 H64 N4",624.51195,13.671,"MSI Level III; Level 4",NA
"Pos","","C18 H34 N O8 P",423.2006,9.751,"MSI Level III; Level 4",NA
"Pos","","C38 H68 N4 O13 P2",850.42578,13.293,"MSI Level III; Level 4",NA
"Pos","","C36 H69 N2 O13 P3",830.40177,10.903,"MSI Level III; Level 4",NA
"Pos","","C H3 Cl2 O2 P",147.92525,0.734,"MSI Level III; Level 4",NA
"Pos","","C20 H39 N10 O17 P S",754.1963,0.839,"MSI Level III; Level 4",NA
"Pos","","C64 H90 N4 O16 P2 S",1264.55511,10.69,"MSI Level III; Level 4",NA
"Pos","","C23 H55 N5 O18 P2",751.30157,9.4,"MSI Level III; Level 4",NA
"Pos","","C8 H17 N O6",223.10532,1.017,"MSI Level III; Level 4",NA
"Pos","","C25 H21 N O15",575.09142,0.857,"MSI Level III; Level 4",NA
"Pos","","C26 H46 N9 O15 P3 S2",881.17664,0.836,"MSI Level III; Level 4",NA
"Pos","","C39 H74 N3 O15 P3",917.43373,11.108,"MSI Level III; Level 4",NA
"Pos","","C26 H10 N3 O17 P S",698.94686,0.671,"MSI Level III; Level 4",NA
"Pos","","C42 H60 N O10 P",769.39638,10.119,"MSI Level III; Level 4",NA
"Pos","","C26 H56 N O16 P3 S4",859.16941,0.86,"MSI Level III; Level 4",NA
"Pos","","C36 H53 N4 O16 P S5",988.17988,0.838,"MSI Level III; Level 4",NA
"Pos","","C50 H79 N O17 S",997.50752,13.06,"MSI Level III; Level 4",NA
"Pos","","C7 H20 N7 O P",249.14568,4.529,"MSI Level III; Level 4",NA
"Pos","","C8 H6",102.04698,2.272,"MSI Level III; Level 4",NA
"Pos","","C23 H45 N4 O4 P",472.31637,13.03,"MSI Level III; Level 4",NA
"Pos","","C19 H13 N3 O8 P2 S2",536.96201,0.944,"MSI Level III; Level 4",NA
"Pos","","C47 H47 N4 O18 P S5",1146.12133,0.829,"MSI Level III; Level 4",NA
"Pos","","C6 H8 N2 O2",140.05889,1.107,"MSI Level III; Level 4",NA
"Pos","","C8 H29 N10 O17 P3",630.09214,0.831,"MSI Level III; Level 4",NA
"Pos","","C27 H38 O",378.29209,13.034,"MSI Level III; Level 4",NA
"Pos","","C62 H85 N O18",1131.57619,8.147,"MSI Level III; Level 4",NA
"Pos","","C7 H14 N2 O5",206.09023,0.99,"MSI Level III; Level 4",NA
"Pos","","C48 H59 N O10 P2",871.35996,7.966,"MSI Level III; Level 4",NA
"Pos","","C11 H34 N9 O3 P",371.25171,8.665,"MSI Level III; Level 4",NA
"Pos","","C45 H52 N9 O4 P",813.38615,11.201,"MSI Level III; Level 4",NA
"Pos","","C6 H4 O5",156.00579,1.095,"MSI Level III; Level 4",NA
"Pos","","C38 H68 N7 O10 P3",875.42309,7.645,"MSI Level III; Level 4",NA
"Pos","","C29 H50 N7 O17 P3 S5",1021.10806,0.83,"MSI Level III; Level 4",NA
"Pos","","C64 H95 N5 O17 P2 S",1299.59193,9.905,"MSI Level III; Level 4",NA
"Pos","","C2 H5 N5 O",115.04896,0.958,"MSI Level III; Level 4",NA
"Pos","","C53 H80 N3 O3 P S4",965.48172,11.821,"MSI Level III; Level 4",NA
"Pos","","C17 H33 N3 O4",343.24718,14.04,"MSI Level III; Level 4",NA
"Pos","","C28 H13 N4 O17 P S",739.97382,0.676,"MSI Level III; Level 4",NA
"Pos","","C38 H61 N10 O17 P3 S4",1150.23165,0.843,"MSI Level III; Level 4",NA
"Pos","","C19 H19 N5 O2 P2",411.10275,10.612,"MSI Level III; Level 4",NA
"Pos","","C43 H51 N O4 S2",709.32784,9.75,"MSI Level III; Level 4",NA
"Pos","","C30 H31 N",405.24523,14.055,"MSI Level III; Level 4",NA
"Pos","","C35 H76 N3 O5 P3 S5",871.35993,7.792,"MSI Level III; Level 4",NA
"Pos","","C16 H10 N2 O2",262.07459,13.759,"MSI Level III; Level 4",NA
"Pos","","C34 H40 N2 O5 S",588.26433,13.052,"MSI Level III; Level 4",NA
"Pos","","C2 H2 N8 O18 S",457.92132,0.683,"MSI Level III; Level 4",NA
"Pos","","C30 H72 N9 O12 P3 S",875.42398,7.842,"MSI Level III; Level 4",NA
"Pos","","C67 H90 N7 O11 P3",1261.592,13.039,"MSI Level III; Level 4",NA
"Pos","","C23 H59 N9 O10 P2",683.38496,13.484,"MSI Level III; Level 4",NA
"Pos","","C25 H36 N10 O15 P2 S",810.15554,0.835,"MSI Level III; Level 4",NA
"Pos","","C10 H20 O4",204.13598,10.423,"MSI Level III; Level 4",NA
"Pos","","C59 H54 N6 O15 P2 S5",1308.17324,0.832,"MSI Level III; Level 4",NA
"Pos","","C87 H109 N O5 P2 S4",1437.66494,12.84,"MSI Level III; Level 4",NA
"Pos","","C19 H41 N7 O3 S2",479.27065,12.922,"MSI Level III; Level 4",NA
"Pos","","C8 H8 O4",168.04257,1.008,"MSI Level III; Level 4",NA
"Pos","","C H N7",111.02966,0.933,"MSI Level III; Level 4",NA
"Pos","","C10 H16 O5",216.0992,2.165,"MSI Level III; Level 4",NA
"Pos","","C3 H N2 O16 P3 S",445.82679,0.76,"MSI Level III; Level 4",NA
"Pos","","C H3 N6 O17 P S5",561.7889,0.969,"MSI Level III; Level 4",NA
"Pos","","C9 H4 O3",160.0156,0.824,"MSI Level III; Level 4",NA
"Pos","","C33 H4 N4 O10 P2 S2",741.88431,0.935,"MSI Level III; Level 4",NA
"Pos","","C21 H37 N O5",383.26711,13.66,"MSI Level III; Level 4",NA
"Pos","","C35 H80 N9 O10 P3 S3",975.44111,11.871,"MSI Level III; Level 4",NA
"Pos","","C40 H85 N2 O13 P3 S2",958.47136,7.669,"MSI Level III; Level 4",NA
"Pos","","C39 H74 N3 O15 P3",917.43337,11.265,"MSI Level III; Level 4",NA
"Pos","","C31 H66 N9 O11 P3 S",865.38116,11.987,"MSI Level III; Level 4",NA
"Pos","","C H3 Cl2 N2 O3 P",191.92575,0.781,"MSI Level III; Level 4",NA
"Pos","","C18 H18 N5 O18 P3 S",716.95765,0.675,"MSI Level III; Level 4",NA
"Pos","","C17 H41 N8 O3 P",436.30496,13.701,"MSI Level III; Level 4",NA
"Pos","","C54 H113 N2 O11 P S5",1156.66843,13.769,"MSI Level III; Level 4",NA
"Pos","","C7 H15 Cl N O4 P",243.04251,6.659,"MSI Level III; Level 4",NA
"Pos","","C38 H45 N7 O9 S",775.29946,7.902,"MSI Level III; Level 4",NA
"Pos","","C20 H39 N7 O9",521.27878,13.069,"MSI Level III; Level 4",NA
"Pos","","C34 H70 N10 O16 P2",936.44455,13.56,"MSI Level III; Level 4",NA
"Pos","","C H2 N4 O9 P2 S",307.90232,0.764,"MSI Level III; Level 4",NA
"Pos","","C33 H59 N9 O17 S",885.37568,8.329,"MSI Level III; Level 4",NA
"Pos","","C14 H20 O3",236.14128,13.886,"MSI Level III; Level 4",NA
"Pos","","C55 H96 N2 O10 P2",1006.65425,13.579,"MSI Level III; Level 4",NA
"Pos","","C4 H10 N O6 P",199.02478,0.983,"MSI Level III; Level 4",NA
"Pos","","C6 H11 N3 O4",189.07488,0.941,"MSI Level III; Level 4",NA
"Pos","","C8 H27 Cl N7 O16 P3 S4",732.93002,0.675,"MSI Level III; Level 4",NA
"Pos","","C2 H4 Cl N4 O5 P3 S4",419.79668,0.98,"MSI Level III; Level 4",NA
"Pos","","C43 H37 N9 O3 P2",789.24882,9.395,"MSI Level III; Level 4",NA
"Pos","","C70 H95 N O5 P2 S2",1155.6121,11.511,"MSI Level III; Level 4",NA
"Pos","","C6 H4 O2",108.02137,1.014,"MSI Level III; Level 4",NA
"Pos","","C22 H51 N9 O6 P2 S",631.31721,2.477,"MSI Level III; Level 4",NA
"Pos","","C6 H20 N5 P",193.14468,10.715,"MSI Level III; Level 4",NA
"Pos","","C22 H38 N8 O8 S",574.25494,13.03,"MSI Level III; Level 4",NA
"Pos","","C44 H77 N8 O12 P3",1002.48673,11.679,"MSI Level III; Level 4",NA
"Pos","","C21 H52 N7 O17 P",705.31768,7.471,"MSI Level III; Level 4",NA
"Pos","","C51 H70 N7 O12 P",1003.48196,7.866,"MSI Level III; Level 4",NA
"Pos","","C12 H21 N O4",243.14676,10.171,"MSI Level III; Level 4",NA
"Pos","","C29 H58 N O16 P",707.34869,9.475,"MSI Level III; Level 4",NA
"Pos","","C27 H20 N O4 P S",485.0845,0.845,"MSI Level III; Level 4",NA
"Pos","","C63 H96 N10 O11 P2 S2",1294.6176,13.644,"MSI Level III; Level 4",NA
"Pos","","C54 H82 N3 O14 P",1027.55477,12.101,"MSI Level III; Level 4",NA
"Pos","","C35 H54 N9 O15 P",871.34732,7.02,"MSI Level III; Level 4",NA
"Pos","","C4 H8 Cl N10 O3 P S2",373.96605,0.97,"MSI Level III; Level 4",NA
"Pos","","C22 H55 N9 O18",733.3646,12.274,"MSI Level III; Level 4",NA
"Pos","","C42 H82 N5 O16 P3",1005.49764,9.096,"MSI Level III; Level 4",NA
"Pos","","C2 H6 N O9 P",218.97797,1.315,"MSI Level III; Level 4",NA
"Pos","","C30 H70 N8 O17 P2",876.43387,11.221,"MSI Level III; Level 4",NA
"Pos","","C12 H23 N3 O5",289.16355,5.253,"MSI Level III; Level 4",NA
"Pos","","C2 H4 Cl N2 O2 P3 S",247.8892,0.992,"MSI Level III; Level 4",NA
"Pos","","C52 H64 N O5 P S2",877.39703,11.675,"MSI Level III; Level 4",NA
"Pos","","C27 H61 N9 O4 P2 S",669.40591,13.023,"MSI Level III; Level 4",NA
"Pos","","C23 H43 O15 P",590.23367,11.155,"MSI Level III; Level 4",NA
"Pos","","C8 H10 N P",151.05507,1.155,"MSI Level III; Level 4",NA
"Pos","","C H2 N6",98.03436,0.955,"MSI Level III; Level 4",NA
"Pos","","C25 H61 N8 O10 P3 S",758.34402,9.581,"MSI Level III; Level 4",NA
"Pos","","C79 H88 N4 O12",1284.6403,10.747,"MSI Level III; Level 4",NA
"Pos","","C31 H62 N O9 P3",685.36402,10.42,"MSI Level III; Level 4",NA
"Pos","","C35 H62 N7 O11 P3 S",881.34364,9.404,"MSI Level III; Level 4",NA
"Pos","","C35 H64 Cl N6 O18 P",922.37052,10.997,"MSI Level III; Level 4",NA
"Pos","","C40 H62 N8 O5 P2",796.43186,12.469,"MSI Level III; Level 4",NA
"Pos","","C38 H74 N O14 P3",861.43206,11.65,"MSI Level III; Level 4",NA
"Pos","","C54 H65 N O5 S3",903.40045,11.084,"MSI Level III; Level 4",NA
"Pos","","C51 H56 N5 O4 P S",865.37942,9.412,"MSI Level III; Level 4",NA
"Pos","","C15 H18 N3 O18 P3 S",652.952,0.709,"MSI Level III; Level 4",NA
"Pos","","C28 H63 N9 O10 P2",747.41673,12.984,"MSI Level III; Level 4",NA
"Pos","","C38 H74 N3 O13 P3",873.44425,10.501,"MSI Level III; Level 4",NA
"Pos","","C39 H56 N9 O8 P3",871.34646,6.523,"MSI Level III; Level 4",NA
"Pos","","C H Cl2 N4 O6 P3 S",359.82186,0.767,"MSI Level III; Level 4",NA
"Pos","","C6 H5 N5 O4",211.03445,0.814,"MSI Level III; Level 4",NA
"Pos","","C36 H77 N10 O18 P",968.51724,13.339,"MSI Level III; Level 4",NA
"Pos","","C41 H9 N3 O3",591.0651,0.699,"MSI Level III; Level 4",NA
"Pos","","C5 H O11 P3 S4",457.76234,0.976,"MSI Level III; Level 4",NA
"Pos","","C6 H6 O5",158.02144,0.798,"MSI Level III; Level 4",NA
"Pos","","C27 H66 N9 O7 P3 S",753.40219,10.804,"MSI Level III; Level 4",NA
"Pos","","C17 H39 N10 O7 P",526.27471,9.002,"MSI Level III; Level 4",NA
"Pos","","C27 H20 N O11 P3 S",658.99704,0.811,"MSI Level III; Level 4",NA
"Pos","","C2 H7 N4 P S",150.01241,0.852,"MSI Level III; Level 4",NA
"Pos","","C51 H111 N6 O9 P3 S",1076.73471,13.745,"MSI Level III; Level 4",NA
"Pos","","C38 H68 N3 O18 P S",917.39754,8.595,"MSI Level III; Level 4",NA
"Pos","","C58 H82 N5 O11 P3",1117.52496,13.052,"MSI Level III; Level 4",NA
"Pos","","C21 H4 N6 O15 P2 S",673.8931,0.683,"MSI Level III; Level 4",NA
"Pos","","C38 H79 N2 O17 P3",928.46088,9.519,"MSI Level III; Level 4",NA
"Pos","","C33 H55 N9 O15 P2",879.32829,13.384,"MSI Level III; Level 4",NA
"Pos","","C37 H47 N10 O14 P",886.30239,12.092,"MSI Level III; Level 4",NA
"Pos","","C31 H45 N9 S",575.34903,13.048,"MSI Level III; Level 4",NA
"Pos","","C5 H10 N2 O5",178.05978,13.86,"MSI Level III; Level 4",NA
